Char  Amount  Percentage
a     1141    48.719
b     842     35.9522
c     63      2.69
d     4       0.1708
e     5       0.2135
f     6       0.2562
g     7       0.2989
h     8       0.3416
i     9       0.3843
j     10      0.427
k     11      0.4697
l     12      0.5124
m     13      0.5551
n     13      0.5551
o     12      0.5124
p     11      0.4697
q     10      0.427
r     9       0.3843
s     8       0.3416
t     7       0.2989
u     126     5.38
v     5       0.2135
w     4       0.1708
x     3       0.1281
y     2       0.0854
z     1       0.0427
Total 2342    97.421 chars were checked
